规格,型号,温度,类型,电流,属性,链接
温控开关 KSD301常闭10A 180度（1个）,KSD301,180,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459296
温控开关 KSD301常闭10A 125度（1个）,KSD301,125,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346383
温控开关 KSD301常闭10A 95度（1个）,KSD301,95,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346382
温控开关 KSD301常闭10A 100度（1个）,KSD301,100,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459309
温控开关 KSD301常闭10A 85度（1个）,KSD301,85,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346384
温控开关 KSD301常闭10A 80度（1个）,KSD301,80,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459310
温控开关 KSD301常闭10A 105度（1个）,KSD301,105,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346385
温控开关 KSD301常闭10A 90度（1个）,KSD301,90,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459306
温控开关 KSD301常闭10A 120度（1个）,KSD301,120,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459302
温控开关 KSD301常闭10A 130度（1个）,KSD301,130,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459308
温控开关 KSD301常闭10A 40度（1个）,KSD301,40,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459299
温控开关 KSD301常闭10A 45度（1个）,KSD301,45,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726918
温控开关 KSD301常闭10A 50度（1个）,KSD301,50,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3813293807678
温控开关 KSD301常闭10A 55度（1个）,KSD301,55,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726919
温控开关 KSD301常闭10A 60度（1个）,KSD301,60,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459313
温控开关 KSD301常闭10A 65度（1个）,KSD301,65,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346386
温控开关 KSD301常闭10A 70度（1个）,KSD301,70,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5793552298119
温控开关 KSD301常闭10A 75度（1个）,KSD301,75,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726920
温控开关 KSD301常闭10A 110度（1个）,KSD301,110,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459298
温控开关 KSD301常闭10A 115度（1个）,KSD301,115,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4865124240593
温控开关 KSD301常闭10A 135度（1个）,KSD301,135,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4865124240594
温控开关 KSD301常闭10A 140度（1个）,KSD301,140,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459304
温控开关 KSD301常闭10A 145度（1个）,KSD301,145,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726921
温控开关 KSD301常闭10A 150度（1个）,KSD301,150,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726922
温控开关 KSD301常闭10A 155度（1个）,KSD301,155,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726923
温控开关 KSD301常闭10A 160度（1个）,KSD301,160,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3813293807677
温控开关 KSD301常闭10A 190度（1个）,KSD301,190,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4907657613945
温控开关 KSD301常开10A 40度（1个）,KSD301,40,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232853
温控开关 KSD301常开10A 45度（1个）,KSD301,45,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726924
温控开关 KSD301常开10A 50度（1个）,KSD301,50,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232824
温控开关 KSD301常开10A 55度（1个）,KSD301,55,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726925
温控开关 KSD301常开10A 60度（1个）,KSD301,60,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726917
温控开关 KSD301常开10A 65度（1个）,KSD301,65,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808681
温控开关 KSD301常开10A 70度（1个）,KSD301,70,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726914
温控开关 KSD301常开10A 75度（1个）,KSD301,75,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808682
温控开关 KSD301常开10A 80度（1个）,KSD301,80,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232846
温控开关 KSD301常开10A 85度（1个）,KSD301,85,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726926
